id_usgs,name_usgs,id_nws
11476600,Bull C Nr Weott Ca,WEOC1
14198400,"Bull Creek Near Wilhoit, Or",
14138560,"Bull Run Lake Near Brightwood, Or",BRLO3
14139000,"Bull Run Reservoir No 1 Near Bull Run, Or",BRVO3
14139900,"Bull Run Reservoir No 2, Near Bull Run, Or",BURO3
14138720,"Bull Run River At Lower Flume Nr Brightwood, Or",BFLO3
14140000,"Bull Run River Near Bull Run (river Only), Or",RUNO3
14138850,"Bull Run River Near Multnomah Falls, Or",BMFO3
11361000,Burney C A Burney Falls Nr Burney Ca,
3.40E+14,Burnt Canyon C Abv Div Dam Nr Banning Ca,
11390000,Butte C Nr Chico Ca,BKCC1
14201500,"Butte Creek At Monitor, Or",BUMO3
9419745,"C-1 Channel Abv Mouth Nr Henderson, Nv",
9419740,"C-1 Channel Nr Warm Spgs Rd At Henderson, Nv",CWSN2
11451800,Cache C A Rumsey Ca,RMSC1
11452500,Cache C A Yolo Ca,YLOC1
11451000,Cache C Nr Lower Lake Ca,CLFC1
11452900,Cache C Outflow From Settling Basin Nr Woodland Ca,OTFC1
11452800,Cache C Overflow Weir From Settling Bas Nr Wood'ld,OWSC1
3.84E+14,Cache C Settling Basin Site C Nr Woodland Ca,
11455350,Cache Slough A Ryer Island,CCSC1
11455315,Cache Slough A S Liberty Island Nr Rio Vista Ca,
11455385,Cache Slough Ab Ryer Island Ferry Nr Rio Vista Ca,
11455280,Cache Slough Nr Hastings Tract Nr Rio Vista Ca,
11475610,Cahto C Nr Laytonville Ca,LYVC1
11063510,Cajon C Bl Lone Pine C Nr Keenbrook Ca,CJKC1
11173500,Calaveras C Nr Sunol Ca,CAVC1
11173490,Calaveras Reservoir Nr Sunol Ca,CVQC1
14164550,"Camp Crk At Camp Crk Rd Bridge, Nr Springfield, Or",
11012500,Campo C Nr Campo Ca,CPOC1
10301755,"Canal No 1 Blw Little Dam Nr Schurz, Nv",
10301742,"Canal No 2 Abv Little Dam Nr Schurz, Nv",
11253310,Cantua C Nr Cantua Creek Ca,COLC1
11075720,Carbon C Bl Carbon Cyn Dam Ca,CBCC1
11143200,Carmel R A Robles Del Rio Ca,RDRC1
11143250,Carmel R Nr Carmel Ca,CMEC1
11119500,Carpinteria C Nr Carpinteria Ca,CPCC1
10311750,"Carson R Abv Sixmile Cyn Ck Blw Dayton, Nv",CSCN2
10311700,"Carson Rv At Dayton, Nv",CDYN2
10311400,"Carson Rv At Deer Run Rd Nr Carson City, Nv",DRRN2
10312275,"Carson Rv At Tarzyn Rd Nr Fallon, Nv",TRZN2
10312150,"Carson Rv Blw Lahontan Reservoir Nr Fallon, Nv",CBLN2
10311000,"Carson Rv Nr Carson City, Nv",STWN2
10312000,"Carson Rv Nr Fort Churchill, Nv",FTCN2
9423350,Caruthers C Nr Ivanpah Ca,IVNC1
11181008,Castro Valley C A Hayward Ca,CVCC1
14164700,"Cedar Creek At Springfield, Or",
11278400,Cherry C Bl Dion R Holm Ph Nr Mather Ca,CKMC1
11277300,Cherry C Bl Valley Dam Nr Hetch Hetchy Ca,CVDC1
11278300,Cherry C Nr Early Intake Ca,CEIC1
11277200,Cherry Lk Nr Hetch Hetchy Ca,CHVC1
14400000,"Chetco River Near Brookings, Or",CHTO3
11073360,Chino C A Schaefer Avenue Nr Chino Ca,CHKC1
10257720,Chino Cyn C Bl Tramway Nr Palm Springs Ca,CCCC1
11055800,City C Nr Highland Ca,CITC1
14209500,"Clackamas River Above Three Lynx Creek, Or",
14210000,"Clackamas River At Estacada, Or",ESTO3
14211010,"Clackamas River Near Oregon City, Or",COCO3
11372000,Clear C Nr Igo Ca,RDGC1
10310500,"Clear Ck Nr Carson City, Nv",CLRN2
11450000,Clear Lk A Lakeport Ca,CLKC1
14314700,"Clearwater R Blw Mowich Creek, Nr Toketee Falls,or",
14314500,"Clearwater River Abv Trap Ck Nr Toketee Falls, Or",
10243700,"Cleve Ck Nr Ely, Nv",CVCN2
9527590,Coachella Canal Above All-american Canal Diversion,
9527597,"Coachella Canal Near Desert Beach, Ca",
9527594,"Coachella Canal Near Niland, Ca",
14152500,"Coast Fork Willamette At London, Or",
14153500,"Coast Fork Willamette R Blw Cottage Grove Dam, Or",COTO3
14157500,"Coast Fork Willamette River Near Goshen, Or",GOSO3
10245960,"Coils Ck Abv Horse Ck Nr Eureka, Nv",COCN2
11071760,Coldwater Canyon C Nr Corona Ca,
11465690,Colgan C Nr Santa Rosa Ca,EASC1
11465700,Colgan C Nr Sebastopol Ca,CGNC1
9521100,"Colorado R Blw Yuma Main Canal Ww At Yuma, Az",YMCC1
9423500,"Colorado River At Needles, Ca",CRNC1
9423000,"Colorado River Below Davis Dam, Az-nv",CBDN2
9429500,"Colorado River Below Imperial Dam, Az-ca",CIDC1
9429600,"Colorado River Below Laguna Dam, Az-ca",LGDC1
9429100,"Colorado River Below Palo Verde Dam, Az-ca",CPVC1
